step,loss,steps_per_s,lr
44000,0.01845,3.85,8.87e-05
44100,0.01876,3.32,8.87e-05
44200,0.01848,3.77,8.86e-05
44300,0.01834,3.74,8.86e-05
44400,0.01791,3.79,8.85e-05
44500,0.01943,3.29,8.85e-05
44600,0.01844,3.70,8.84e-05
44700,0.01962,3.58,8.84e-05
44800,0.01785,3.72,8.83e-05
44900,0.01976,3.30,8.83e-05
45000,0.01845,3.65,8.82e-05
45100,0.01899,3.71,8.82e-05
45200,0.01841,3.86,8.81e-05
45300,0.01839,3.56,8.81e-05
45400,0.01803,3.72,8.80e-05
45500,0.01764,3.34,8.80e-05
45600,0.01841,3.67,8.79e-05
45700,0.01766,3.21,8.79e-05
45800,0.01883,3.47,8.78e-05
45900,0.01786,3.43,8.78e-05
46000,0.01733,3.51,8.77e-05
46100,0.01820,3.30,8.77e-05
46200,0.01735,3.56,8.76e-05
46300,0.01733,3.32,8.75e-05
46400,0.01790,3.57,8.75e-05
46500,0.01818,3.32,8.74e-05
46600,0.01877,3.50,8.74e-05
46700,0.01851,3.23,8.73e-05
46800,0.01806,3.65,8.73e-05
46900,0.01777,3.34,8.72e-05
47000,0.01874,3.51,8.72e-05
47100,0.01832,3.32,8.71e-05
47200,0.01691,3.71,8.71e-05
47300,0.01840,3.39,8.70e-05
47400,0.01740,3.63,8.70e-05
47500,0.01862,3.50,8.69e-05
47600,0.01756,3.61,8.69e-05
47700,0.01785,3.17,8.68e-05
47800,0.01883,3.55,8.68e-05
47900,0.01866,3.36,8.67e-05
48000,0.01716,3.72,8.67e-05
48100,0.01763,3.38,8.66e-05
48200,0.01772,3.50,8.65e-05
48300,0.01864,3.57,8.65e-05
48400,0.01822,3.58,8.64e-05
48500,0.01849,3.30,8.64e-05
48600,0.01724,3.64,8.63e-05
48700,0.01757,3.64,8.63e-05
48800,0.01713,3.84,8.62e-05
48900,0.01852,3.58,8.62e-05
49000,0.01702,3.96,8.61e-05
49100,0.01827,3.64,8.61e-05
49200,0.01864,3.85,8.60e-05
49300,0.01830,3.60,8.59e-05
49400,0.01775,3.93,8.59e-05
49500,0.01703,3.83,8.58e-05
49600,0.01727,4.10,8.58e-05
49700,0.01798,3.73,8.57e-05
49800,0.01725,4.01,8.57e-05
49900,0.01745,3.85,8.56e-05
50000,0.01697,3.96,8.56e-05
50100,0.01813,3.45,8.55e-05
50200,0.01849,4.03,8.55e-05
50300,0.01818,3.86,8.54e-05
50400,0.01745,4.08,8.53e-05
50500,0.01779,3.71,8.53e-05
